,Weather_key,is_day,temperature,sunset,sunrise,precipitation
1798,1798,1,0.0,2018-12-22T16:44,2018-12-22T07:48,0.0
1799,1799,1,-2.5,2019-02-14T17:45,2019-02-14T07:17,0.0
1800,1800,1,6.5,2018-10-24T17:20,2018-10-24T06:43,0.0
1801,1801,1,25.6,2019-06-25T20:03,2019-06-25T04:37,0.0
1802,1802,1,8.6,2019-04-06T18:49,2019-04-06T05:49,0.0
1803,1803,1,11.1,2019-05-22T19:42,2019-05-22T04:44,0.0
1804,1804,1,5.3,2018-11-26T16:44,2018-11-26T07:25,1.2
1805,1805,0,23.0,2019-07-28T19:45,2019-07-28T05:01,0.0
1806,1806,1,21.1,2019-06-25T20:03,2019-06-25T04:36,0.0
1807,1807,0,-4.5,2019-02-15T17:47,2019-02-15T07:16,0.0
1808,1808,0,-1.0,2018-12-24T16:45,2018-12-24T07:50,0.0
1809,1809,1,9.0,2019-04-07T18:51,2019-04-07T05:49,0.0
1810,1810,1,11.0,2019-05-22T19:42,2019-05-22T04:45,0.2
1811,1811,0,2.8,2018-10-24T17:20,2018-10-24T06:43,0.0
1812,1812,1,21.8,2019-08-22T19:10,2019-08-22T05:29,0.0
1813,1813,1,29.5,2019-07-28T19:46,2019-07-28T05:02,0.0
1814,1814,0,1.3,2018-11-28T16:42,2018-11-28T07:27,0.0
1815,1815,1,9.9,2019-04-07T18:50,2019-04-07T05:47,0.0
1816,1816,1,25.9,2019-05-23T19:43,2019-05-23T04:44,0.0
1817,1817,1,26.7,2019-07-28T19:45,2019-07-28T05:01,0.2
1818,1818,1,16.1,2019-08-23T19:09,2019-08-23T05:31,0.0
1819,1819,0,3.2,2018-10-25T17:18,2018-10-25T06:44,0.0
1820,1820,1,-6.5,2019-02-16T17:48,2019-02-16T07:14,0.0
1821,1821,1,5.7,2019-04-09T18:53,2019-04-09T05:45,0.0
1822,1822,1,25.3,2019-07-29T19:44,2019-07-29T05:03,0.0
1823,1823,0,0.8,2018-11-29T16:41,2018-11-29T07:29,0.0
1824,1824,0,4.6,2018-10-25T17:19,2018-10-25T06:45,0.0
1825,1825,1,22.8,2019-05-23T19:43,2019-05-23T04:44,0.0
1826,1826,1,-4.0,2019-02-20T17:53,2019-02-20T07:08,0.0
1827,1827,0,-0.2,2018-12-25T16:45,2018-12-25T07:49,0.0
1828,1828,1,2.3,2018-11-29T16:42,2018-11-29T07:29,0.0
1829,1829,1,10.0,2019-04-09T18:53,2019-04-09T05:45,0.0
1830,1830,0,17.1,2019-06-25T20:03,2019-06-25T04:37,0.0
1831,1831,0,23.1,2019-07-30T19:43,2019-07-30T05:04,0.0
1832,1832,1,7.6,2018-10-26T17:16,2018-10-26T06:45,0.1
1833,1833,1,14.5,2019-05-24T19:44,2019-05-24T04:44,0.0
1834,1834,1,-3.7,2019-02-25T18:00,2019-02-25T07:00,0.0
1835,1835,0,21.8,2019-07-30T19:43,2019-07-30T05:04,0.0
1836,1836,1,24.8,2019-06-26T20:03,2019-06-26T04:37,0.0
1837,1837,1,5.9,2019-04-10T18:54,2019-04-10T05:43,0.0
1838,1838,0,14.4,2019-08-25T19:05,2019-08-25T05:32,0.0
1839,1839,1,21.4,2019-05-26T19:46,2019-05-26T04:42,0.0
1840,1840,0,4.6,2018-10-29T17:12,2018-10-29T06:50,0.0
1841,1841,1,25.3,2019-07-31T19:42,2019-07-31T05:06,0.0
1842,1842,1,24.0,2019-06-27T20:03,2019-06-27T04:38,0.0
1843,1843,0,0.9,2019-04-10T18:54,2019-04-10T05:42,0.0
1844,1844,0,-7.5,2019-02-25T18:01,2019-02-25T07:01,0.0
1845,1845,1,19.5,2019-05-26T19:46,2019-05-26T04:42,0.0
1846,1846,1,21.3,2019-08-25T19:06,2019-08-25T05:34,0.0
1847,1847,1,6.5,2018-10-30T17:10,2018-10-30T06:51,0.0
1848,1848,1,26.3,2019-06-28T20:03,2019-06-28T04:38,0.0
1849,1849,0,1.6,2018-12-26T16:47,2018-12-26T07:50,0.0
1850,1850,0,9.4,2018-10-31T17:09,2018-10-31T06:52,2.5
1851,1851,0,18.6,2019-08-25T19:05,2019-08-25T05:32,0.0
1852,1852,1,-11.8,2019-02-26T18:01,2019-02-26T06:58,0.0
1853,1853,1,10.3,2018-10-31T17:09,2018-10-31T06:52,2.5
1854,1854,1,26.4,2019-07-31T19:42,2019-07-31T05:05,0.0
1855,1855,0,-0.2,2018-12-31T16:49,2018-12-31T07:50,0.0
1856,1856,1,18.4,2019-05-26T19:47,2019-05-26T04:43,0.0
1857,1857,0,19.5,2019-08-26T19:03,2019-08-26T05:33,0.0
1858,1858,1,17.2,2019-07-01T20:03,2019-07-01T04:39,0.0
1859,1859,0,16.8,2019-08-30T18:57,2019-08-30T05:38,0.0
1860,1860,1,23.3,2019-07-02T20:02,2019-07-02T04:39,0.0
1861,1861,0,-12.7,2019-02-27T18:02,2019-02-27T06:57,0.1
1862,1862,0,2.1,2019-01-01T16:51,2019-01-01T07:51,0.0
1863,1863,1,13.8,2019-08-31T18:55,2019-08-31T05:40,0.0
1864,1864,1,-2.4,2019-01-02T16:52,2019-01-02T07:52,0.0
1865,1865,0,21.3,2019-07-31T19:42,2019-07-31T05:05,0.0
1866,1866,1,15.1,2019-05-29T19:49,2019-05-29T04:40,0.0
1867,1867,1,-4.5,2019-03-01T18:06,2019-03-01T06:54,0.0
1868,1868,1,21.5,2019-08-31T18:56,2019-08-31T05:40,0.0
1869,1869,1,6.8,2019-01-04T16:53,2019-01-04T07:51,0.0
1870,1870,0,16.8,2019-05-30T19:50,2019-05-30T04:40,0.0
1871,1871,1,19.0,2019-07-03T20:02,2019-07-03T04:40,0.0
1872,1872,1,-3.2,2019-03-01T18:05,2019-03-01T06:54,0.0
1873,1873,1,25.0,2019-09-02T18:52,2019-09-02T05:43,0.2
1874,1874,0,1.3,2019-01-04T16:53,2019-01-04T07:51,0.0
1875,1875,0,11.2,2019-05-31T19:50,2019-05-31T04:39,0.0
1876,1876,0,19.7,2019-08-02T19:40,2019-08-02T05:08,0.0
1877,1877,1,20.7,2019-09-02T18:51,2019-09-02T05:41,0.1
1878,1878,1,19.7,2019-09-03T18:50,2019-09-03T05:42,0.0
1879,1879,1,3.2,2019-12-22T16:44,2019-12-22T07:48,0.0
1880,1880,0,2.3,2019-12-22T16:42,2019-12-22T07:48,0.0
1881,1881,1,-16.1,2019-11-13T16:54,2019-11-13T07:09,0.0
1882,1882,0,13.1,2019-10-10T17:43,2019-10-10T06:25,0.0
1883,1883,1,-12.7,2019-11-13T16:54,2019-11-13T07:09,0.0
1884,1884,0,1.8,2019-12-23T16:44,2019-12-23T07:49,0.0
