,Sub_Dem_key,Place_name,Population,Population_density_persqm,Pop_perc_over_65,neighborhood_name
2163,2163,Toronto,0,0,0,Banbury-Don Mills
2164,2164,Toronto,0,0,0,Kensington-Chinatown
2165,2165,Scarborough,0,0,0,Bendale-Glen Andrew
2166,2166,Scarborough,0,0,0,Clairlea-Birchmount
2167,2167,Toronto,0,0,0,Flemingdon Park
2168,2168,Scarborough,0,0,0,Agincourt North
2169,2169,Toronto,0,0,0,Moss Park
2170,2170,Toronto,0,0,0,Bathurst Manor
2171,2171,Toronto,0,0,0,Bay-Cloverhill
2172,2172,Toronto,0,0,0,Glenfield-Jane Heights
2173,2173,Toronto,0,0,0,Bathurst Manor
2174,2174,Toronto,0,0,0,Yonge-Bay Corridor
2175,2175,Toronto,0,0,0,Dufferin Grove
2176,2176,Toronto,0,0,0,Bedford Park-Nortown
2177,2177,Toronto,0,0,0,Little Portugal
2178,2178,York,0,0,0,Mount Dennis
2179,2179,Toronto,0,0,0,The Beaches
2180,2180,Scarborough,0,0,0,Birchcliffe-Cliffside
2181,2181,Scarborough,0,0,0,Agincourt North
2182,2182,Etobicoke,0,0,0,Mount Olive-Silverstone-Jamestown
2183,2183,Toronto,0,0,0,Junction Area
2184,2184,Toronto,0,0,0,Bayview Village
2185,2185,Toronto,0,0,0,Black Creek
2186,2186,Toronto,0,0,0,South Riverdale
2187,2187,Scarborough,0,0,0,Tam O'Shanter-Sullivan
2188,2188,Scarborough,0,0,0,West Hill
2189,2189,Toronto,0,0,0,Annex
2190,2190,Toronto,0,0,0,Dufferin Grove
2191,2191,Toronto,0,0,0,Yonge-Bay Corridor
2192,2192,Etobicoke,0,0,0,Stonegate-Queensway
2193,2193,Toronto,0,0,0,Dufferin Grove
2194,2194,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
2195,2195,Toronto,0,0,0,Yorkdale-Glen Park
2196,2196,Scarborough,0,0,0,Cliffcrest
2197,2197,Scarborough,0,0,0,Morningside
2198,2198,Toronto,0,0,0,Oakdale-Beverley Heights
2199,2199,Scarborough,0,0,0,Agincourt South-Malvern West
2200,2200,Toronto,0,0,0,Oakdale-Beverley Heights
2201,2201,Toronto,0,0,0,South Riverdale
2202,2202,Toronto,0,0,0,Banbury-Don Mills
2203,2203,Toronto,0,0,0,Cabbagetown-South St.James Town
2204,2204,York,0,0,0,Caledonia-Fairbank
2205,2205,Etobicoke,0,0,0,Mimico-Queensway
2206,2206,Toronto,0,0,0,South Riverdale
2207,2207,Toronto,0,0,0,Junction-Wallace Emerson
2208,2208,Scarborough,0,0,0,Dorset Park
2209,2209,York,0,0,0,Briar Hill-Belgravia
2210,2210,Scarborough,0,0,0,Morningside
2211,2211,York,0,0,0,Rockcliffe-Smythe
2212,2212,Toronto,0,0,0,Newtonbrook West
2213,2213,North York,0,0,0,Willowdale West
2214,2214,Scarborough,0,0,0,Tam O'Shanter-Sullivan
2215,2215,Scarborough,0,0,0,L'Amoreaux West
2216,2216,Toronto,0,0,0,Dufferin Grove
2217,2217,Scarborough,0,0,0,Malvern West
2218,2218,Scarborough,0,0,0,Steeles
2219,2219,Scarborough,0,0,0,Bendale South
2220,2220,Etobicoke,0,0,0,Etobicoke City Centre
2221,2221,Scarborough,0,0,0,Woburn North
2222,2222,Etobicoke,0,0,0,West Humber-Clairville
2223,2223,Toronto,0,0,0,Lawrence Park South
2224,2224,Etobicoke,0,0,0,Etobicoke West Mall
2225,2225,Scarborough,0,0,0,Golfdale-Cedarbrae-Woburn
2226,2226,Scarborough,0,0,0,Wexford/Maryvale
2227,2227,Scarborough,0,0,0,Birchcliffe-Cliffside
2228,2228,Toronto,0,0,0,Parkwoods-O'Connor Hills
2229,2229,Etobicoke,0,0,0,Kingsway South
2230,2230,Toronto,0,0,0,North St.James Town
2231,2231,Etobicoke,0,0,0,Markland Wood
2232,2232,Scarborough,0,0,0,Dorset Park
2233,2233,Toronto,0,0,0,Moss Park
2234,2234,Scarborough,0,0,0,Agincourt South-Malvern West
2235,2235,Toronto,0,0,0,Bridle Path-Sunnybrook-York Mills
2236,2236,Toronto,0,0,0,Bridle Path-Sunnybrook-York Mills
2237,2237,Toronto,0,0,0,Downsview
2238,2238,Toronto,0,0,0,South Parkdale
